offre,candidat,sem_sim,skill_rate,exp_score,formation_score,apr_rate,label
Data Scientist Machine Learning,Marketing Digital Expert,0.500092,0.0,0.7514,0.6,0.5,0.39
Data Scientist Machine Learning,Comptable,0.500006,0.0,0.7861,0.6,0.5,0.39
Data Scientist Machine Learning,Commercial Vente,0.500025,0.0,0.7572,0.6,0.5,0.39
Développeur Frontend React TypeScript,Senior Backend Python,0.50288,0.25,0.8403,1.0,0.5,0.575
Développeur Frontend React TypeScript,Mid Backend Django,0.507884,0.375,0.8371,1.0,0.5,0.6375
Développeur Frontend React TypeScript,Junior Python Flask,0.512601,0.375,0.5778,1.0,0.5,0.5125
Développeur Frontend React TypeScript,Senior Java Spring,0.504674,0.375,0.8028,1.0,0.5,0.6375
Développeur Frontend React TypeScript,Junior Java Angular Stage,0.50106,0.25,0.2895,1.0,0.5,0.325
Développeur Frontend React TypeScript,Senior Data Scientist,0.500174,0.125,0.7607,1.0,0.5,0.5125
Développeur Frontend React TypeScript,Data Analyst Junior,0.500063,0.125,0.5109,1.0,0.5,0.3875
Développeur Frontend React TypeScript,Senior Frontend React,0.678629,1.0,0.9224,1.0,0.5,0.95
Développeur Frontend React TypeScript,Junior Frontend Vue,0.55926,0.5,0.5897,0.6667,0.5,0.525
Développeur Frontend React TypeScript,Senior DevOps AWS,0.502274,0.125,0.7918,1.0,0.5,0.5125
Développeur Frontend React TypeScript,Développeur PHP Laravel,0.517263,0.375,0.8341,1.0,0.5,0.6375
Développeur Frontend React TypeScript,Analyste Sécurité,0.500095,0.0,0.7538,1.0,0.5,0.45
Développeur Frontend React TypeScript,Marketing Digital Expert,0.501351,0.0,0.7703,1.0,0.5,0.45
Développeur Frontend React TypeScript,Comptable,0.500004,0.0,0.7546,1.0,0.5,0.45
Développeur Frontend React TypeScript,Commercial Vente,0.500056,0.0,0.7352,1.0,0.5,0.45
Ingénieur DevOps Cloud AWS,Senior Backend Python,0.526522,0.25,0.843,1.0,0.5,0.575
Ingénieur DevOps Cloud AWS,Mid Backend Django,0.502798,0.25,0.5745,1.0,0.5,0.45
Ingénieur DevOps Cloud AWS,Junior Python Flask,0.50091,0.125,0.4129,0.6,0.5,0.265
Ingénieur DevOps Cloud AWS,Senior Java Spring,0.516372,0.375,0.8844,1.0,0.5,0.6375
Ingénieur DevOps Cloud AWS,Junior Java Angular Stage,0.504101,0.125,0.2778,0.8,0.5,0.2325
Ingénieur DevOps Cloud AWS,Senior Data Scientist,0.500894,0.25,0.8041,1.0,0.5,0.575
Ingénieur DevOps Cloud AWS,Data Analyst Junior,0.500118,0.125,0.3836,0.6,0.5,0.265
Ingénieur DevOps Cloud AWS,Senior Frontend React,0.501037,0.125,0.653,0.6,0.5,0.39
Ingénieur DevOps Cloud AWS,Junior Frontend Vue,0.502044,0.125,0.4012,0.4,0.5,0.235
Ingénieur DevOps Cloud AWS,Senior DevOps AWS,0.593517,1.0,0.9296,1.0,0.5,0.95
Ingénieur DevOps Cloud AWS,Développeur PHP Laravel,0.502308,0.25,0.6874,0.6,0.5,0.4525
Ingénieur DevOps Cloud AWS,Analyste Sécurité,0.501284,0.125,0.691,1.0,0.5,0.45
Ingénieur DevOps Cloud AWS,Marketing Digital Expert,0.500074,0.0,0.6363,0.6,0.5,0.3275
Ingénieur DevOps Cloud AWS,Comptable,0.500004,0.0,0.7508,0.6,0.5,0.39
Ingénieur DevOps Cloud AWS,Commercial Vente,0.500056,0.0,0.7523,0.6,0.5,0.39
Développeur Full Stack Java Angular Stage,Senior Backend Python,0.512684,0.333333,0.8226,1.0,0.5,0.6167
Développeur Full Stack Java Angular Stage,Mid Backend Django,0.516604,0.333333,0.8509,1.0,0.5,0.6167
Développeur Full Stack Java Angular Stage,Junior Python Flask,0.507906,0.206164,0.8318,0.6,0.5,0.4733
Développeur Full Stack Java Angular Stage,Senior Java Spring,0.531954,0.872831,0.8653,1.0,0.5,0.8667
Développeur Full Stack Java Angular Stage,Junior Java Angular Stage,0.725999,1.0,0.8942,0.8,0.5,0.92
Développeur Full Stack Java Angular Stage,Senior Data Scientist,0.501725,0.333333,0.7759,1.0,0.5,0.6167
Développeur Full Stack Java Angular Stage,Data Analyst Junior,0.500454,0.333333,0.7736,0.6,0.5,0.5566
Développeur Full Stack Java Angular Stage,Senior Frontend React,0.513471,0.333333,0.8182,0.6,0.5,0.5566
Développeur Full Stack Java Angular Stage,Junior Frontend Vue,0.518443,0.166667,0.8081,0.4,0.5,0.4433
Développeur Full Stack Java Angular Stage,Senior DevOps AWS,0.507349,0.166667,0.8202,1.0,0.5,0.5333
Développeur Full Stack Java Angular Stage,Développeur PHP Laravel,0.515025,0.372831,0.8314,0.6,0.5,0.5566
Développeur Full Stack Java Angular Stage,Analyste Sécurité,0.500232,0.0,0.7647,1.0,0.5,0.45
Développeur Full Stack Java Angular Stage,Marketing Digital Expert,0.500187,0.0,0.7322,0.6,0.5,0.39
Développeur Full Stack Java Angular Stage,Comptable,0.500006,0.0,0.76,0.6,0.5,0.39
Développeur Full Stack Java Angular Stage,Commercial Vente,0.500055,0.0,0.7129,0.6,0.5,0.39
Développeur PHP Laravel,Senior Backend Python,0.503504,0.428571,0.8585,1.0,0.5,0.6643
Développeur PHP Laravel,Mid Backend Django,0.513616,0.571429,0.8829,1.0,0.5,0.7357
Développeur PHP Laravel,Junior Python Flask,0.515034,0.285714,0.6031,1.0,0.5,0.4679
Développeur PHP Laravel,Senior Java Spring,0.502175,0.571429,0.8344,1.0,0.5,0.7357
Développeur PHP Laravel,Junior Java Angular Stage,0.501462,0.319569,0.2868,1.0,0.5,0.3428
Développeur PHP Laravel,Senior Data Scientist,0.500321,0.319569,0.7912,1.0,0.5,0.5929
Développeur PHP Laravel,Data Analyst Junior,0.500451,0.176712,0.5252,1.0,0.5,0.3965
Développeur PHP Laravel,Senior Frontend React,0.510327,0.428571,0.8361,1.0,0.5,0.6643
Développeur PHP Laravel,Junior Frontend Vue,0.528087,0.285714,0.562,0.6667,0.5,0.4179
Développeur PHP Laravel,Senior DevOps AWS,0.502939,0.285714,0.82,1.0,0.5,0.5929
Développeur PHP Laravel,Développeur PHP Laravel,0.657868,1.0,0.927,1.0,0.5,0.95
Développeur PHP Laravel,Analyste Sécurité,0.500318,0.0,0.8009,1.0,0.5,0.45
Développeur PHP Laravel,Marketing Digital Expert,0.500718,0.0,0.7656,1.0,0.5,0.45
Développeur PHP Laravel,Comptable,0.500008,0.0,0.7546,1.0,0.5,0.45
Développeur PHP Laravel,Commercial Vente,0.500113,0.0,0.7402,1.0,0.5,0.45
Analyste Cybersécurité Pentester,Senior Backend Python,0.501717,0.166667,0.8193,1.0,0.5,0.5333
Analyste Cybersécurité Pentester,Mid Backend Django,0.500383,0.166667,0.8138,1.0,0.5,0.5333
Analyste Cybersécurité Pentester,Junior Python Flask,0.500665,0.166667,0.5368,0.6,0.5,0.3483
Analyste Cybersécurité Pentester,Senior Java Spring,0.500411,0.0,0.8014,1.0,0.5,0.45
Analyste Cybersécurité Pentester,Junior Java Angular Stage,0.500179,0.0,0.2366,0.8,0.5,0.17
Analyste Cybersécurité Pentester,Senior Data Scientist,0.500494,0.166667,0.8072,1.0,0.5,0.5333
Analyste Cybersécurité Pentester,Data Analyst Junior,0.502199,0.166667,0.5668,0.6,0.5,0.3483
Analyste Cybersécurité Pentester,Senior Frontend React,0.500032,0.0,0.7459,0.6,0.5,0.39
Analyste Cybersécurité Pentester,Junior Frontend Vue,0.500005,0.0,0.4956,0.4,0.5,0.235
Analyste Cybersécurité Pentester,Senior DevOps AWS,0.501454,0.166667,0.8144,1.0,0.5,0.6167
Analyste Cybersécurité Pentester,Développeur PHP Laravel,0.500286,0.0,0.7812,0.6,0.5,0.39
Analyste Cybersécurité Pentester,Analyste Sécurité,0.593736,1.0,0.9342,1.0,0.5,0.95
Analyste Cybersécurité Pentester,Marketing Digital Expert,0.50015,0.0,0.7457,0.6,0.5,0.39
Analyste Cybersécurité Pentester,Comptable,0.500005,0.0,0.757,0.6,0.5,0.39
Analyste Cybersécurité Pentester,Commercial Vente,0.500246,0.0,0.7458,0.6,0.5,0.39
Responsable Marketing Digital,Senior Backend Python,0.500006,0.0,0.706,1.0,0.5,0.45
Responsable Marketing Digital,Mid Backend Django,0.500005,0.0,0.6888,1.0,0.5,0.45
Responsable Marketing Digital,Junior Python Flask,0.500015,0.0,0.435,1.0,0.5,0.325
Responsable Marketing Digital,Senior Java Spring,0.500006,0.0,0.6896,1.0,0.5,0.45
Responsable Marketing Digital,Junior Java Angular Stage,0.500005,0.0,0.1663,1.0,0.5,0.2
Responsable Marketing Digital,Senior Data Scientist,0.500005,0.0,0.7065,1.0,0.5,0.45
Responsable Marketing Digital,Data Analyst Junior,0.500007,0.0,0.4569,1.0,0.5,0.325
Responsable Marketing Digital,Senior Frontend React,0.500011,0.0,0.7066,1.0,0.5,0.45
Responsable Marketing Digital,Junior Frontend Vue,0.500053,0.0,0.4482,0.6667,0.5,0.275
Responsable Marketing Digital,Senior DevOps AWS,0.500017,0.0,0.6935,1.0,0.5,0.45
Responsable Marketing Digital,Développeur PHP Laravel,0.50002,0.0,0.6804,1.0,0.5,0.45
Responsable Marketing Digital,Analyste Sécurité,0.500007,0.0,0.6829,1.0,0.5,0.45
Responsable Marketing Digital,Marketing Digital Expert,0.692248,1.0,0.8859,1.0,0.5,0.95
Responsable Marketing Digital,Comptable,0.500004,0.0,0.6777,1.0,0.5,0.45
Responsable Marketing Digital,Commercial Vente,0.500401,0.0,0.6797,1.0,0.5,0.45
